Datetime,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-07 22:36:00,1.278543,1.278543,1.278543,1.278543,0.000000
2019-01-07 22:37:00,1.278543,1.278543,1.278543,1.278543,0.000000
2019-01-07 22:38:00,1.278576,1.278576,1.278576,1.278576,0.000000
2019-01-07 22:39:00,1.278593,1.278593,1.278593,1.278593,0.000000
2019-01-07 22:40:00,1.278625,1.278625,1.278625,1.278625,0.000000
2019-01-07 22:41:00,1.278740,1.278740,1.278740,1.278740,0.000000
2019-01-07 22:42:00,1.278691,1.278691,1.278691,1.278691,0.000000
2019-01-07 22:43:00,1.278625,1.278625,1.278625,1.278625,0.000000
2019-01-07 22:44:00,1.278985,1.278985,1.278985,1.278985,0.000000
2019-01-07 22:45:00,1.278347,1.278347,1.278347,1.278347,0.000000
2019-01-07 22:46:00,1.278756,1.278756,1.278756,1.278756,0.000000
2019-01-07 22:47:00,1.278691,1.278691,1.278691,1.278691,0.000000
2019-01-07 22:48:00,1.278723,1.278723,1.278723,1.278723,0.000000
2019-01-07 22:49:00,1.278331,1.278331,1.278331,1.278331,0.000000
2019-01-07 22:50:00,1.278691,1.278691,1.278691,1.278691,0.000000
2019-01-07 22:51:00,1.278674,1.278674,1.278674,1.278674,0.000000
2019-01-07 22:52:00,1.278723,1.278723,1.278723,1.278723,0.000000
2019-01-07 22:53:00,1.278707,1.278707,1.278707,1.278707,0.000000
2019-01-07 22:54:00,1.278691,1.278691,1.278691,1.278691,0.000000
2019-01-07 22:55:00,1.278674,1.278674,1.278674,1.278674,0.000000
2019-01-07 22:56:00,1.278723,1.278723,1.278723,1.278723,0.000000
2019-01-07 22:57:00,1.278772,1.278772,1.278772,1.278772,0.000000
2019-01-07 22:58:00,1.278233,1.278674,1.278233,1.278674,0.000000
2019-01-07 23:01:00,1.278707,1.278707,1.278707,1.278707,0.000000
2019-01-07 23:02:00,1.278756,1.278756,1.278756,1.278756,0.000000
2019-01-07 23:03:00,1.278805,1.278805,1.278805,1.278805,0.000000
2019-01-07 23:04:00,1.278772,1.278772,1.278772,1.278772,0.000000
2019-01-07 23:05:00,1.278887,1.278887,1.278887,1.278887,0.000000
2019-01-07 23:06:00,1.278756,1.278756,1.278756,1.278756,0.000000
2019-01-07 23:07:00,1.278593,1.278593,1.278593,1.278593,0.000000
2019-01-07 23:09:00,1.278429,1.278429,1.278429,1.278429,0.000000
2019-01-07 23:10:00,1.278119,1.278119,1.278119,1.278119,0.000000
2019-01-07 23:11:00,1.278413,1.278413,1.278413,1.278413,0.000000
2019-01-07 23:12:00,1.278315,1.278315,1.278315,1.278315,0.000000
2019-01-07 23:13:00,1.278380,1.278380,1.278380,1.278380,0.000000
2019-01-07 23:14:00,1.278478,1.278478,1.278478,1.278478,0.000000
2019-01-07 23:15:00,1.278462,1.278462,1.278462,1.278462,0.000000
2019-01-07 23:16:00,1.278494,1.278494,1.278494,1.278494,0.000000
2019-01-07 23:17:00,1.278494,1.278494,1.278494,1.278494,0.000000
2019-01-07 23:18:00,1.278347,1.278347,1.278347,1.278347,0.000000
2019-01-07 23:19:00,1.278609,1.278609,1.278609,1.278609,0.000000
2019-01-07 23:20:00,1.278821,1.278821,1.278821,1.278821,0.000000
2019-01-07 23:21:00,1.278723,1.278723,1.278723,1.278723,0.000000
2019-01-07 23:22:00,1.278789,1.278789,1.278789,1.278789,0.000000
